Date : 2019-11-19 02:27:14
Directory : /Users/flatironschool/Development/code/mod5project/bugtracker
Total : 109 files,  16337 codes, 699 comments, 654 blanks, all 17690 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     12,851 |          0 |          3 |     12,854 |
| JavaScript |         30 |      2,685 |        276 |        340 |      3,301 |
| Ruby       |         54 |        585 |        244 |        213 |      1,042 |
| YAML       |          9 |         79 |        119 |         36 |        234 |
| CSS        |          6 |         53 |         36 |         13 |        102 |
| Markdown   |          3 |         51 |          0 |         45 |         96 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| Ruby ERB   |          2 |         12 |          1 |          3 |         16 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        109 |     16,337 |        699 |        654 |     17,690 |
| front                                                                                                                     |         42 |     15,647 |        335 |        389 |     16,371 |
| front/src                                                                                                                 |         37 |      2,739 |        312 |        353 |      3,404 |
| front/src/components                                                                                                      |         25 |      1,798 |        227 |        224 |      2,249 |
| back                                                                                                                      |         66 |        689 |        364 |        264 |      1,317 |
| back/app                                                                                                                  |         20 |        286 |         34 |         72 |        392 |
| back/app/controllers                                                                                                      |          7 |        228 |         30 |         58 |        316 |
| back/db                                                                                                                   |          7 |        157 |         14 |         26 |        197 |
| back/config                                                                                                               |         20 |        144 |        275 |        111 |        530 |
| back/test                                                                                                                 |         17 |         87 |         40 |         40 |        167 |
| back/db/migrate                                                                                                           |          5 |         58 |          0 |          8 |         66 |
| back/config/environments                                                                                                  |          3 |         58 |         79 |         51 |        188 |
| front/src/css                                                                                                             |          6 |         53 |         36 |         13 |        102 |
| back/test/fixtures                                                                                                        |          5 |         48 |          5 |         15 |         68 |
| front/public                                                                                                              |          2 |         45 |         23 |          2 |         70 |
| back/app/models                                                                                                           |          6 |         29 |          3 |          6 |         38 |
| back/test/controllers                                                                                                     |          6 |         18 |         18 |         12 |         48 |
| back/test/models                                                                                                          |          5 |         15 |         15 |         10 |         40 |
| back/config/initializers                                                                                                  |          7 |         12 |         43 |         21 |         76 |
| back/app/views/layouts                                                                                                    |          2 |         12 |          1 |          3 |         16 |
| back/app/views                                                                                                            |          2 |         12 |          1 |          3 |         16 |
| back/app/channels/application_cable                                                                                       |          2 |          8 |          0 |          2 |         10 |
| back/app/channels                                                                                                         |          2 |          8 |          0 |          2 |         10 |
| back/app/mailers                                                                                                          |          1 |          4 |          0 |          1 |          5 |
| back/app/serializers                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| back/app/jobs                                                                                                             |          1 |          2 |          0 |          1 |          3 |
| back/config/locales                                                                                                       |          1 |          2 |         30 |          2 |         34 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/flatironschool/Development/code/mod5project/bugtracker/README.md                                                   | Markdown   |          1 |          0 |          1 |          2 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/README.md                                              | Markdown   |         13 |          0 |         12 |         25 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/channels/application_cable/channel.rb              | Ruby       |          4 |          0 |          1 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/channels/application_cable/connection.rb           | Ruby       |          4 |          0 |          1 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/application_controller.rb              | Ruby       |         32 |          6 |          7 |         45 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/auth_controller.rb                     | Ruby       |         16 |          3 |          2 |         21 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/bugs_controller.rb                     | Ruby       |         35 |          8 |         10 |         53 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/projects_controller.rb                 | Ruby       |         35 |          5 |         11 |         51 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/user_bugs_controller.rb                | Ruby       |         35 |          1 |          9 |         45 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/user_projects_controller.rb            | Ruby       |         35 |          0 |         10 |         45 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/users_controller.rb                    | Ruby       |         40 |          7 |          9 |         56 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/jobs/application_job.rb                            | Ruby       |          2 |          0 |          1 |          3 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/mailers/application_mailer.rb                      | Ruby       |          4 |          0 |          1 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/application_record.rb                       | Ruby       |          3 |          0 |          1 |          4 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/bug.rb                                      | Ruby       |          5 |          0 |          1 |          6 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/project.rb                                  | Ruby       |          5 |          2 |          1 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/user.rb                                     | Ruby       |          8 |          1 |          1 |         10 |
